kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH,nitr_sfert,2050,56802.87198,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,GHGe,2010,-639.2042465,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,GHGe,2030,1946.605032,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,GHGe,2050,3694.481754,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,land,2010,-100.8644299,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,land,2030,842.6883465,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,land,2050,508.2797414,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,water,2010,-0.418968277,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,water,2030,168.8896513,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,water,2050,315.5725805,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr,2010,-31104.14137,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr,2030,-11279.04582,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr,2050,3983.935748,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,phos,2010,-8924.384014,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,phos,2030,-6338.255902,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,phos,2050,-4941.740182,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr_splus,2010,-31686.57128,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr_splus,2030,-10930.63875,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr_splus,2050,5291.229326,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr_sfert,2010,-31686.57128,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr_sfert,2030,-9202.907479,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,full_w,TECH_p,nitr_sfert,2050,6290.587948,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,GHGe,2010,-360.5232027,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,GHGe,2030,1978.773533,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,GHGe,2050,4187.658605,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,land,2010,-1735.502882,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,land,2030,2264.357582,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,land,2050,5590.287812,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,water,2010,-231.0849958,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,water,2030,346.9232307,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,water,2050,787.8374347,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr,2010,-16887.13444,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr,2030,9343.166782,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr,2050,28946.8241,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,phos,2010,-2846.880655,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,phos,2030,2031.710499,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,phos,2050,5606.992311,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr_splus,2010,-16883.90426,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr_splus,2030,17383.61149,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr_splus,2050,44216.11822,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr_sfert,2010,-18988.14409,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr_sfert,2030,15579.75553,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,BMK,nitr_sfert,2050,40240.65005,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,GHGe,2010,-843.0342046,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,GHGe,2030,1572.541249,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,GHGe,2050,3304.497737,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,land,2010,-1735.502882,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,land,2030,-700.327749,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,land,2050,120.7110097,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,water,2010,-231.0849958,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,water,2030,-80.9121579,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,water,2050,46.18364381,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr,2010,-16887.13444,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr,2030,7055.603156,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr,2050,25477.6878,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,phos,2010,-2846.880655,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,phos,2030,1577.720363,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,phos,2050,3908.911764,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr_splus,2010,-16883.90426,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr_splus,2030,10035.18007,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr_splus,2050,33199.74619,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr_sfert,2010,-18988.14409,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr_sfert,2030,8231.324106,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH,nitr_sfert,2050,29224.27802,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,GHGe,2010,-959.8609704,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,GHGe,2030,1476.734964,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,GHGe,2050,3120.251433,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,land,2010,-1818.140074,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,land,2030,-979.3052372,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,land,2050,-1277.739926,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,water,2010,-231.5359151,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,water,2030,-81.70312021,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,water,2050,45.5050772,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr,2010,-42925.13548,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr,2030,-26165.21916,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr,2050,-13269.75991,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,phos,2010,-10347.82434,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,phos,2030,-8135.523833,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,phos,2050,-6969.928132,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr_splus,2010,-43520.11653,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr_splus,2030,-24856.12071,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr_splus,2050,-9750.463368,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr_sfert,2010,-45624.35636,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr_sfert,2030,-26659.97667,,,,,,,,,,
2100kcal,SSP1,chg_2010,BMK,half_w,TECH_p,nitr_sfert,2050,-13725.93153,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,GHGe,2010,-2329.651808,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,GHGe,2030,-1326.547635,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,GHGe,2050,-773.3266799,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,land,2010,61.40596413,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,land,2030,3337.693883,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,land,2050,5320.800722,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,water,2010,0.546337308,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,water,2030,473.5106389,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,water,2050,704.10679,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr,2010,-12191.72685,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr,2030,7792.943894,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr,2050,19866.99459,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,phos,2010,-1433.80638,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,phos,2030,2338.542955,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,phos,2050,4479.69167,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr_splus,2010,-10549.34272,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr_splus,2030,12854.57023,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr_splus,2050,26284.29494,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr_sfert,2010,-5951.450074,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr_sfert,2030,21500.9838,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,BMK,nitr_sfert,2050,36489.83115,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,GHGe,2010,-2591.024157,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,GHGe,2030,-1530.05041,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,GHGe,2050,-1156.901455,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,land,2010,61.40596413,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,land,2030,168.6734626,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,land,2050,36.17358014,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,water,2010,0.546337308,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,water,2030,-0.785070046,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,water,2050,-51.77483046,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr,2010,-12191.72685,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr,2030,6385.505402,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr,2050,18246.46526,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,phos,2010,-1433.80638,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,phos,2030,2052.223962,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,phos,2050,3468.132547,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr_splus,2010,-10549.34272,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr_splus,2030,5109.353976,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr_splus,2050,15905.82096,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr_sfert,2010,-5951.450074,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr_sfert,2030,13755.76755,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH,nitr_sfert,2050,26111.35717,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,GHGe,2010,-2650.923953,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,GHGe,2030,-1576.951166,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,GHGe,2050,-1236.952084,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,land,2010,-94.97662619,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,land,2030,-425.8689446,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,land,2050,-1810.570179,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,water,2010,0.383064561,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,water,2030,-1.452668626,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,water,2050,-52.26068423,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr,2010,-39638.35017,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr,2030,-26634.28759,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr,2050,-18331.61569,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,phos,2010,-9641.287204,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,phos,2030,-7898.272033,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,phos,2050,-7190.317741,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr_splus,2010,-38767.81662,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr_splus,2030,-30068.92787,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr_splus,2050,-25582.47996,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr_sfert,2010,-34169.92398,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr_sfert,2030,-21422.5143,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,full_w,TECH_p,nitr_sfert,2050,-15376.94375,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,GHGe,2010,-2600.924934,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,GHGe,2030,-1684.075381,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,GHGe,2050,-1215.798519,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,land,2010,-1638.804791,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,land,2030,1119.063851,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,land,2050,2662.154,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,water,2010,-242.3126431,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,water,2030,156.3159392,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,water,2050,333.1306397,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr,2010,-28766.27995,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr,2030,-12661.88689,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr,2050,-3473.120952,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,phos,2010,-4245.124655,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,phos,2030,-1146.67133,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,phos,2050,509.1712783,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr_splus,2010,-26809.86272,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr_splus,2030,-6497.567396,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr_splus,2050,5017.566539,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr_sfert,2010,-24564.07285,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr_sfert,2030,-1808.404283,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,BMK,nitr_sfert,2050,9684.334424,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,GHGe,2010,-2841.947976,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,GHGe,2030,-1873.321146,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,GHGe,2050,-1571.47838,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,land,2010,-1638.804791,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,land,2030,-1615.826766,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,land,2050,-1844.874042,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,water,2010,-242.3126431,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,water,2030,-249.5407745,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,water,2050,-305.467523,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr,2010,-28766.27995,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr,2030,-13799.36618,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr,2050,-4768.187033,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,phos,2010,-4245.124655,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,phos,2030,-1379.423147,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,phos,2050,-351.0260952,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr_splus,2010,-26809.86272,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr_splus,2030,-13549.11877,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr_splus,2050,-4390.330335,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr_sfert,2010,-24564.07285,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr_sfert,2030,-8859.955653,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH,nitr_sfert,2050,276.4375498,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,GHGe,2010,-2896.361982,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,GHGe,2030,-1916.316696,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,GHGe,2050,-1644.515599,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,land,2010,-1774.510141,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,land,2030,-2124.183933,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,land,2050,-3418.595906,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,water,2010,-242.5416516,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,water,2030,-250.2302844,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,water,2050,-305.9855925,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr,2010,-51240.53734,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr,2030,-40763.6977,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr,2050,-34441.8723,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,phos,2010,-11046.94634,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,phos,2030,-9614.095587,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,phos,2050,-9099.897062,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr_splus,2010,-50066.68642,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr_splus,2030,-42700.2327,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr_splus,2050,-38770.71208,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr_sfert,2010,-47820.89656,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr_sfert,2030,-38011.06959,,,,,,,,,,
2100kcal,SSP1,chg_2010,FLX,half_w,TECH_p,nitr_sfert,2050,-34103.9442,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,GHGe,2010,-3325.049561,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,GHGe,2030,-2768.038883,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,GHGe,2050,-2433.368582,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,land,2010,-205.7262963,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,land,2030,3003.580075,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,land,2050,4868.170824,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,water,2010,11.53885542,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,water,2030,491.1019234,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,water,2050,723.653084,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr,2010,-12672.83874,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr,2030,6981.292995,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr,2050,18399.28695,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,phos,2010,-1500.181275,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,phos,2030,2243.742323,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,phos,2050,4305.198214,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr_splus,2010,-18870.82174,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr_splus,2030,618.5733072,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr_splus,2050,10429.23566,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr_sfert,2010,-6983.768689,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr_sfert,2030,20443.1002,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,BMK,nitr_sfert,2050,35014.52469,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,GHGe,2010,-3492.115395,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,GHGe,2030,-2891.563731,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,GHGe,2050,-2664.971905,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,land,2010,-205.7262963,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,land,2030,-88.14479499,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,land,2050,-234.8168676,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,water,2010,11.53885542,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,water,2030,10.28852134,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,water,2050,-42.7482747,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr,2010,-12672.83874,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr,2030,5738.223005,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr,2050,17089.57005,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,phos,2010,-1500.181275,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,phos,2030,1987.065445,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,phos,2050,3442.503336,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr_splus,2010,-18870.82174,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr_splus,2030,-6900.249856,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr_splus,2050,443.5499318,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr_sfert,2010,-6983.768689,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr_sfert,2030,12924.27704,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH,nitr_sfert,2050,25028.83896,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH_p,GHGe,2010,-3536.05758,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH_p,GHGe,2030,-2924.077386,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH_p,GHGe,2050,-2720.651374,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH_p,land,2010,-361.3910061,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH_p,land,2030,-703.4843081,,,,,,,,,,
2100kcal,SSP1,chg_2010,PSC,full_w,TECH_p,land,2050,-2127.859856,,,,,,,,,,
