kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,TECH_p,GHGe,2010,4580.153976,,,VEG,-73,-38,-36,-22,-20,-30,-22
2100kcal,SSP2,abs,BMK,full_w,TECH_p,GHGe,2030,7118.384365,,,VGN,-82,-39,-33,-22,-22,-27,-23
2100kcal,SSP2,abs,BMK,full_w,TECH_p,GHGe,2050,8673.562744,,,half_w,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,TECH_p,land,2010,12520.40882,,,BMK,-15,-40,-37,-18,-20,-17,-22
2100kcal,SSP2,abs,BMK,full_w,TECH_p,land,2030,13492.2323,,,FLX,-60,-46,-46,-35,-31,-33,-34
2100kcal,SSP2,abs,BMK,full_w,TECH_p,land,2050,13114.20367,,,FLX_hmilk,-41,-44,-45,-29,-26,-34,-29
2100kcal,SSP2,abs,BMK,full_w,TECH_p,water,2010,1806.659027,,,FLX_hredmeat,-19,-45,-46,-32,-30,-30,-32
2100kcal,SSP2,abs,BMK,full_w,TECH_p,water,2030,1982.022503,,,PSC,-77,-48,-46,-36,-32,-41,-35
2100kcal,SSP2,abs,BMK,full_w,TECH_p,water,2050,2155.33313,,,VEG,-77,-47,-45,-37,-33,-40,-36
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr,2010,72576.33251,,,VGN,-86,-48,-43,-38,-35,-37,-37
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr,2030,92489.09319,,,TECH_p,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr,2050,107052.6047,,,full_w,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,TECH_p,phos,2010,8924.384361,,,BMK,-11,-38,-28,-32,-31,-31,-53
2100kcal,SSP2,abs,BMK,full_w,TECH_p,phos,2030,11503.40403,,,FLX,-57,-46,-37,-44,-40,-44,-60
2100kcal,SSP2,abs,BMK,full_w,TECH_p,phos,2050,12766.57995,,,FLX_hmilk,-38,-44,-36,-40,-37,-47,-58
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr_splus,2010,102708.3862,,,FLX_hredmeat,-15,-46,-37,-42,-39,-42,-59
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr_splus,2030,123477.6608,,,PSC,-74,-48,-37,-45,-40,-52,-60
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr_splus,2050,138064.4582,,,VEG,-74,-48,-36,-45,-41,-50,-61
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr_sfert,2010,100115.0986,,,VGN,-83,-49,-33,-46,-42,-47,-61
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr_sfert,2030,122577.3728,,,half_w,,,,,,,
2100kcal,SSP2,abs,BMK,full_w,TECH_p,nitr_sfert,2050,137030.2106,,,BMK,-17,-46,-37,-43,-41,-39,-61
2100kcal,SSP2,abs,BMK,half_w,BMK,GHGe,2010,4858.835041,,,FLX,-61,-54,-46,-54,-49,-51,-67
2100kcal,SSP2,abs,BMK,half_w,BMK,GHGe,2030,7152.122106,,,FLX_hmilk,-42,-52,-45,-50,-46,-53,-65
2100kcal,SSP2,abs,BMK,half_w,BMK,GHGe,2050,9165.086396,,,FLX_hredmeat,-20,-53,-46,-52,-48,-49,-66
2100kcal,SSP2,abs,BMK,half_w,BMK,land,2010,10885.77007,,,PSC,-77,-56,-46,-55,-50,-58,-67
2100kcal,SSP2,abs,BMK,half_w,BMK,land,2030,14915.51332,,,VEG,-77,-55,-45,-56,-50,-57,-68
2100kcal,SSP2,abs,BMK,half_w,BMK,land,2050,18188.11711,,,VGN,-86,-56,-43,-56,-51,-54,-69
2100kcal,SSP2,abs,BMK,half_w,BMK,water,2010,1575.992999,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,water,2030,2159.692195,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,water,2050,2595.343217,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr,2010,86793.33988,,,,,,,,,,
